Wavelength (nm)	n (exp.)	k (exp.)
193	0.95343	1.30267
194	0.96091	1.30818
195	0.9682	1.31338
196	0.97527	1.31827
197	0.98213	1.32288
198	0.98875	1.32722
199	0.99513	1.33132
200	1.00125	1.33519
201	1.00711	1.33885
202	1.01271	1.34232
203	1.01804	1.34562
204	1.02309	1.34878
205	1.02786	1.3518
206	1.03235	1.35472
207	1.03657	1.35755
208	1.0405	1.3603
209	1.04415	1.36301
210	1.04754	1.36568
211	1.05065	1.36833
212	1.0535	1.37098
213	1.05608	1.37365
214	1.05842	1.37636
215	1.06051	1.3791
216	1.06237	1.38191
217	1.064	1.38479
218	1.06541	1.38776
219	1.06661	1.39082
220	1.06762	1.39399
221	1.06844	1.39728
222	1.06908	1.40069
223	1.06956	1.40424
224	1.06988	1.40793
225	1.07007	1.41176
226	1.07012	1.41575
227	1.07006	1.4199
228	1.06989	1.42421
229	1.06962	1.42868
230	1.06927	1.43332
231	1.06885	1.43813
232	1.06836	1.44311
233	1.06782	1.44826
234	1.06725	1.45359
235	1.06664	1.45908
236	1.06601	1.46474
237	1.06537	1.47057
238	1.06473	1.47657
239	1.0641	1.48273
240	1.06348	1.48905
241	1.06288	1.49553
242	1.06232	1.50216
243	1.0618	1.50895
244	1.06133	1.51588
245	1.0609	1.52295
246	1.06054	1.53016
247	1.06025	1.5375
248	1.06002	1.54497
249	1.05987	1.55256
250	1.05981	1.56028
251	1.05983	1.5681
252	1.05994	1.57603
253	1.06014	1.58407
254	1.06044	1.5922
255	1.06085	1.60042
256	1.06135	1.60873
257	1.06197	1.61713
258	1.06269	1.62559
259	1.06353	1.63413
260	1.06448	1.64273
261	1.06554	1.65139
262	1.06672	1.66011
263	1.06802	1.66888
264	1.06943	1.67769
265	1.07097	1.68654
266	1.07262	1.69542
267	1.07439	1.70433
268	1.07628	1.71327
269	1.0783	1.72223
270	1.08043	1.7312
271	1.08268	1.74018
272	1.08505	1.74917
273	1.08753	1.75816
274	1.09014	1.76715
275	1.09285	1.77614
276	1.09569	1.78511
277	1.09863	1.79407
278	1.10169	1.80301
279	1.10486	1.81192
280	1.10814	1.82082
281	1.11152	1.82968
282	1.11501	1.83851
283	1.1186	1.8473
284	1.12229	1.85606
285	1.12608	1.86477
286	1.12997	1.87344
287	1.13396	1.88207
288	1.13803	1.89064
289	1.1422	1.89915
290	1.14645	1.90762
