Wavelength	n	k
193	1.57127	0.00657
194	1.57006	0.00639
195	1.56886	0.00622
196	1.56768	0.00606
197	1.56652	0.0059
198	1.56538	0.00575
199	1.56425	0.0056
200	1.56314	0.00546
201	1.56205	0.00532
202	1.56098	0.00519
203	1.55992	0.00506
204	1.55888	0.00494
205	1.55786	0.00482
206	1.55685	0.0047
207	1.55585	0.00459
208	1.55487	0.00448
209	1.5539	0.00438
210	1.55295	0.00428
211	1.55201	0.00418
212	1.55109	0.00408
213	1.55018	0.00399
214	1.54928	0.0039
215	1.5484	0.00382
216	1.54753	0.00374
217	1.54667	0.00365
218	1.54582	0.00358
219	1.54498	0.0035
220	1.54416	0.00343
221	1.54335	0.00336
222	1.54254	0.00329
223	1.54175	0.00322
224	1.54097	0.00315
225	1.54021	0.00309
226	1.53945	0.00303
227	1.5387	0.00297
228	1.53796	0.00291
229	1.53723	0.00285
230	1.53651	0.0028
231	1.53581	0.00275
232	1.53511	0.00269
233	1.53442	0.00264
234	1.53373	0.0026
235	1.53306	0.00255
236	1.5324	0.0025
237	1.53174	0.00246
238	1.5311	0.00241
239	1.53046	0.00237
240	1.52983	0.00233
241	1.52921	0.00229
242	1.52859	0.00225
243	1.52799	0.00221
244	1.52739	0.00217
245	1.5268	0.00213
246	1.52621	0.0021
247	1.52564	0.00206
248	1.52507	0.00203
249	1.5245	0.00199
250	1.52395	0.00196
251	1.5234	0.00193
252	1.52286	0.0019
253	1.52232	0.00187
254	1.52179	0.00184
255	1.52127	0.00181
256	1.52075	0.00178
257	1.52024	0.00176
258	1.51974	0.00173
259	1.51924	0.0017
260	1.51875	0.00168
261	1.51826	0.00165
262	1.51778	0.00163
263	1.5173	0.0016
264	1.51683	0.00158
265	1.51637	0.00156
266	1.51591	0.00153
267	1.51545	0.00151
268	1.515	0.00149
269	1.51456	0.00147
270	1.51412	0.00145
271	1.51369	0.00143
272	1.51326	0.00141
273	1.51283	0.00139
274	1.51241	0.00137
275	1.512	0.00135
276	1.51159	0.00133
277	1.51118	0.00132
278	1.51078	0.0013
279	1.51038	0.00128
280	1.50999	0.00127
281	1.5096	0.00125
282	1.50922	0.00123
283	1.50884	0.00122
284	1.50846	0.0012
285	1.50809	0.00119
286	1.50772	0.00117
287	1.50736	0.00116
288	1.507	0.00114
289	1.50664	0.00113
290	1.50629	0.00112
291	1.50594	0.0011
292	1.5056	0.00109
293	1.50525	0.00108
294	1.50492	0.00106
295	1.50458	0.00105
296	1.50425	0.00104
297	1.50392	0.00103
298	1.5036	0.00102
299	1.50327	0.001
300	1.50296	9.92E-04
301	1.50264	9.81E-04
302	1.50233	9.70E-04
303	1.50202	9.59E-04
304	1.50172	9.49E-04
305	1.50141	9.38E-04
306	1.50111	9.28E-04
307	1.50082	9.18E-04
308	1.50052	9.08E-04
309	1.50023	8.98E-04
310	1.49995	8.89E-04
311	1.49966	8.79E-04
312	1.49938	8.70E-04
313	1.4991	8.61E-04
314	1.49882	8.52E-04
315	1.49855	8.43E-04
316	1.49828	8.35E-04
317	1.49801	8.26E-04
318	1.49774	8.18E-04
319	1.49748	8.10E-04
320	1.49722	8.02E-04
321	1.49696	7.94E-04
322	1.4967	7.86E-04
323	1.49645	7.78E-04
324	1.4962	7.71E-04
325	1.49595	7.63E-04
326	1.4957	7.56E-04
327	1.49546	7.49E-04
328	1.49521	7.42E-04
329	1.49497	7.35E-04
330	1.49473	7.28E-04
331	1.4945	7.21E-04
332	1.49427	7.14E-04
333	1.49404	7.08E-04
334	1.49381	7.01E-04
335	1.49358	6.95E-04
336	1.49335	6.89E-04
337	1.49313	6.82E-04
338	1.49291	6.76E-04
339	1.49269	6.70E-04
340	1.49247	6.64E-04
341	1.49226	6.58E-04
342	1.49204	6.53E-04
343	1.49183	6.47E-04
344	1.49162	6.41E-04
345	1.49141	6.36E-04
346	1.49121	6.31E-04
347	1.491	6.25E-04
348	1.4908	6.20E-04
349	1.4906	6.15E-04
350	1.4904	6.10E-04
351	1.49021	6.05E-04
352	1.49001	6.00E-04
353	1.48982	5.95E-04
354	1.48962	5.90E-04
355	1.48943	5.85E-04
356	1.48924	5.80E-04
357	1.48906	5.76E-04
358	1.48887	5.71E-04
359	1.48869	5.67E-04
360	1.48851	5.62E-04
361	1.48832	5.58E-04
362	1.48814	5.53E-04
363	1.48797	5.49E-04
364	1.48779	5.45E-04
365	1.48761	5.41E-04
366	1.48744	5.36E-04
367	1.48727	5.32E-04
368	1.4871	5.28E-04
369	1.48693	5.24E-04
370	1.48676	5.21E-04
371	1.48659	5.17E-04
372	1.48643	5.13E-04
373	1.48626	5.09E-04
374	1.4861	5.05E-04
375	1.48594	5.02E-04
376	1.48578	4.98E-04
377	1.48562	4.94E-04
378	1.48546	4.91E-04
379	1.48531	4.87E-04
380	1.48515	4.84E-04
381	1.485	4.81E-04
382	1.48485	4.77E-04
383	1.4847	4.74E-04
384	1.48455	4.71E-04
385	1.4844	4.67E-04
386	1.48425	4.64E-04
387	1.4841	4.61E-04
388	1.48396	4.58E-04
389	1.48381	4.55E-04
390	1.48367	4.52E-04
391	1.48353	4.49E-04
392	1.48339	4.46E-04
393	1.48325	4.43E-04
394	1.48311	4.40E-04
395	1.48297	4.37E-04
396	1.48283	4.34E-04
397	1.4827	4.31E-04
398	1.48256	4.29E-04
399	1.48243	4.26E-04
400	1.4823	4.23E-04
401	1.48216	4.20E-04
402	1.48203	4.18E-04
403	1.4819	4.15E-04
404	1.48178	4.12E-04
405	1.48165	4.10E-04
406	1.48152	4.07E-04
407	1.4814	4.05E-04
408	1.48127	4.02E-04
409	1.48115	4.00E-04
410	1.48102	3.97E-04
411	1.4809	3.95E-04
412	1.48078	3.93E-04
413	1.48066	3.90E-04
414	1.48054	3.88E-04
415	1.48042	3.86E-04
416	1.4803	3.83E-04
417	1.48019	3.81E-04
418	1.48007	3.79E-04
419	1.47995	3.77E-04
420	1.47984	3.75E-04
421	1.47973	3.72E-04
422	1.47961	3.70E-04
423	1.4795	3.68E-04
424	1.47939	3.66E-04
425	1.47928	3.64E-04
426	1.47917	3.62E-04
427	1.47906	3.60E-04
428	1.47895	3.58E-04
429	1.47885	3.56E-04
430	1.47874	3.54E-04
431	1.47863	3.52E-04
432	1.47853	3.50E-04
433	1.47843	3.48E-04
434	1.47832	3.46E-04
435	1.47822	3.44E-04
436	1.47812	3.43E-04
437	1.47801	3.41E-04
438	1.47791	3.39E-04
439	1.47781	3.37E-04
440	1.47771	3.35E-04
441	1.47761	3.34E-04
442	1.47752	3.32E-04
443	1.47742	3.30E-04
444	1.47732	3.28E-04
445	1.47723	3.27E-04
446	1.47713	3.25E-04
447	1.47704	3.23E-04
448	1.47694	3.22E-04
449	1.47685	3.20E-04
450	1.47676	3.18E-04
451	1.47666	3.17E-04
452	1.47657	3.15E-04
453	1.47648	3.14E-04
454	1.47639	3.12E-04
455	1.4763	3.11E-04
456	1.47621	3.09E-04
457	1.47612	3.08E-04
458	1.47604	3.06E-04
459	1.47595	3.05E-04
460	1.47586	3.03E-04
461	1.47578	3.02E-04
462	1.47569	3.00E-04
463	1.4756	2.99E-04
464	1.47552	2.97E-04
465	1.47544	2.96E-04
466	1.47535	2.95E-04
467	1.47527	2.93E-04
468	1.47519	2.92E-04
469	1.4751	2.90E-04
470	1.47502	2.89E-04
471	1.47494	2.88E-04
472	1.47486	2.86E-04
473	1.47478	2.85E-04
474	1.4747	2.84E-04
475	1.47462	2.83E-04
476	1.47455	2.81E-04
477	1.47447	2.80E-04
478	1.47439	2.79E-04
479	1.47431	2.77E-04
480	1.47424	2.76E-04
481	1.47416	2.75E-04
482	1.47409	2.74E-04
483	1.47401	2.73E-04
484	1.47394	2.71E-04
485	1.47386	2.70E-04
486	1.47379	2.69E-04
487	1.47372	2.68E-04
488	1.47364	2.67E-04
489	1.47357	2.66E-04
490	1.4735	2.65E-04
491	1.47343	2.63E-04
492	1.47336	2.62E-04
493	1.47329	2.61E-04
494	1.47321	2.60E-04
495	1.47315	2.59E-04
496	1.47308	2.58E-04
497	1.47301	2.57E-04
498	1.47294	2.56E-04
499	1.47287	2.55E-04
500	1.4728	2.54E-04
501	1.47274	2.53E-04
502	1.47267	2.52E-04
503	1.4726	2.51E-04
504	1.47254	2.50E-04
505	1.47247	2.49E-04
506	1.47241	2.48E-04
507	1.47234	2.47E-04
508	1.47228	2.46E-04
509	1.47221	2.45E-04
510	1.47215	2.44E-04
511	1.47209	2.43E-04
512	1.47202	2.42E-04
513	1.47196	2.41E-04
514	1.4719	2.40E-04
515	1.47184	2.39E-04
516	1.47178	2.38E-04
517	1.47172	2.37E-04
518	1.47165	2.36E-04
519	1.47159	2.35E-04
520	1.47153	2.35E-04
521	1.47147	2.34E-04
522	1.47141	2.33E-04
523	1.47136	2.32E-04
524	1.4713	2.31E-04
525	1.47124	2.30E-04
526	1.47118	2.29E-04
527	1.47112	2.28E-04
528	1.47107	2.28E-04
529	1.47101	2.27E-04
530	1.47095	2.26E-04
531	1.4709	2.25E-04
532	1.47084	2.24E-04
533	1.47079	2.24E-04
534	1.47073	2.23E-04
535	1.47067	2.22E-04
536	1.47062	2.21E-04
537	1.47056	2.20E-04
538	1.47051	2.20E-04
539	1.47046	2.19E-04
540	1.4704	2.18E-04
541	1.47035	2.17E-04
542	1.4703	2.17E-04
543	1.47025	2.16E-04
544	1.47019	2.15E-04
545	1.47014	2.14E-04
546	1.47009	2.14E-04
547	1.47004	2.13E-04
548	1.46999	2.12E-04
549	1.46994	2.11E-04
550	1.46988	2.11E-04
551	1.46983	2.10E-04
552	1.46978	2.09E-04
553	1.46973	2.09E-04
554	1.46968	2.08E-04
