Wavelength	n	k
193	1.9853	1.28975
194	1.97069	1.30044
195	1.9598	1.31147
196	1.95226	1.32239
197	1.94766	1.33285
198	1.94561	1.34258
199	1.94571	1.35143
200	1.94759	1.35928
201	1.9509	1.36608
202	1.95533	1.37185
203	1.96062	1.37661
204	1.96652	1.38045
205	1.97284	1.38346
206	1.9794	1.38573
207	1.98608	1.38738
208	1.99277	1.38854
209	1.99939	1.38932
210	2.00589	1.38985
211	2.01223	1.39023
212	2.01842	1.39057
213	2.02445	1.39098
214	2.03036	1.39154
215	2.03617	1.39233
216	2.04194	1.39341
217	2.04773	1.39484
218	2.05359	1.39666
219	2.0596	1.3989
220	2.06583	1.40156
221	2.07236	1.40466
222	2.07924	1.40817
223	2.08656	1.41208
224	2.09438	1.41635
225	2.10275	1.42093
226	2.11172	1.42577
227	2.12135	1.43082
228	2.13166	1.436
229	2.14268	1.44124
230	2.15442	1.44646
231	2.16689	1.45161
232	2.18008	1.45658
233	2.19399	1.46132
234	2.20857	1.46575
235	2.22381	1.4698
236	2.23965	1.4734
237	2.25605	1.47652
238	2.27297	1.47908
239	2.29033	1.48106
240	2.30807	1.48242
241	2.32613	1.48313
242	2.34444	1.48317
243	2.36293	1.48255
244	2.38153	1.48126
245	2.40017	1.47931
246	2.41881	1.47673
247	2.43737	1.47354
248	2.4558	1.46978
249	2.47406	1.46548
250	2.49212	1.46071
251	2.50993	1.45551
252	2.52749	1.44993
253	2.54479	1.44403
254	2.56182	1.43788
255	2.5786	1.43152
256	2.59515	1.42501
257	2.61151	1.4184
258	2.62771	1.41172
259	2.6438	1.405
260	2.65984	1.39827
261	2.67588	1.39154
262	2.692	1.38479
263	2.70825	1.37803
264	2.72469	1.37121
265	2.74137	1.3643
266	2.75836	1.35725
267	2.77568	1.34999
268	2.79337	1.34245
269	2.81145	1.33456
270	2.82992	1.32622
271	2.84878	1.31736
272	2.868	1.30788
273	2.88755	1.2977
274	2.90737	1.28675
275	2.9274	1.27494
276	2.94758	1.26221
277	2.96781	1.24851
278	2.988	1.23378
279	3.00806	1.21801
280	3.02787	1.20116
281	3.04735	1.18324
282	3.06637	1.16426
283	3.08485	1.14422
284	3.10266	1.12316
285	3.11973	1.10114
286	3.13596	1.07819
287	3.15126	1.0544
288	3.16557	1.02982
289	3.17881	1.00455
290	3.19094	0.97866
291	3.20189	0.95224
292	3.21164	0.92539
293	3.22017	0.89821
294	3.22745	0.87078
295	3.23348	0.8432
296	3.23826	0.81557
297	3.24181	0.78797
298	3.24413	0.7605
299	3.24527	0.73324
300	3.24525	0.70626
301	3.24411	0.67964
302	3.24191	0.65345
303	3.23868	0.62774
304	3.23448	0.60258
305	3.22937	0.57801
306	3.22341	0.55407
307	3.21666	0.53081
308	3.20917	0.50826
309	3.20101	0.48643
310	3.19225	0.46535
311	3.18294	0.44502
312	3.17313	0.42547
313	3.16289	0.40669
314	3.15228	0.38869
315	3.14134	0.37145
316	3.13013	0.35497
317	3.1187	0.33924
318	3.10708	0.32425
319	3.09533	0.30997
320	3.08348	0.29639
321	3.07156	0.28349
322	3.05962	0.27124
323	3.04767	0.25962
324	3.03576	0.24862
325	3.02389	0.23819
326	3.01211	0.22833
327	3.00041	0.219
328	2.98883	0.21018
329	2.97737	0.20185
330	2.96605	0.19398
331	2.95487	0.18655
332	2.94386	0.17953
333	2.93301	0.1729
334	2.92233	0.16665
335	2.91183	0.16075
336	2.90151	0.15518
337	2.89137	0.14992
338	2.88141	0.14496
339	2.87163	0.14028
340	2.86203	0.13587
341	2.85262	0.1317
342	2.84338	0.12776
343	2.83432	0.12405
344	2.82544	0.12054
345	2.81673	0.11723
346	2.8082	0.1141
347	2.79983	0.11115
348	2.79162	0.10837
349	2.78357	0.10574
350	2.77569	0.10326
351	2.76795	0.10091
352	2.76037	0.0987
353	2.75293	0.09662
354	2.74564	0.09465
355	2.73848	0.0928
356	2.73147	0.09105
357	2.72458	0.0894
358	2.71783	0.08785
359	2.7112	0.0864
360	2.7047	0.08502
361	2.69832	0.08373
362	2.69205	0.08252
363	2.6859	0.08139
364	2.67986	0.08032
365	2.67393	0.07933
366	2.66811	0.0784
367	2.66239	0.07753
368	2.65677	0.07672
369	2.65124	0.07596
370	2.64582	0.07526
371	2.64049	0.07462
372	2.63525	0.07402
373	2.6301	0.07347
374	2.62503	0.07296
375	2.62005	0.0725
376	2.61516	0.07208
377	2.61034	0.0717
378	2.60561	0.07136
379	2.60095	0.07105
380	2.59636	0.07078
381	2.59185	0.07055
382	2.58742	0.07034
383	2.58305	0.07017
384	2.57875	0.07003
385	2.57451	0.06991
386	2.57034	0.06983
387	2.56624	0.06977
388	2.5622	0.06973
389	2.55821	0.06972
390	2.55429	0.06974
391	2.55043	0.06978
392	2.54662	0.06983
393	2.54287	0.06992
394	2.53917	0.07002
395	2.53552	0.07014
396	2.53193	0.07028
397	2.52839	0.07044
398	2.5249	0.07061
399	2.52145	0.07081
400	2.51806	0.07102
401	2.51471	0.07125
402	2.5114	0.07149
403	2.50814	0.07175
404	2.50493	0.07202
405	2.50175	0.07231
406	2.49862	0.07261
407	2.49553	0.07293
408	2.49248	0.07326
409	2.48946	0.0736
410	2.48649	0.07396
411	2.48355	0.07433
412	2.48066	0.07471
413	2.47779	0.0751
414	2.47497	0.0755
415	2.47217	0.07591
416	2.46942	0.07634
417	2.46669	0.07677
418	2.464	0.07722
419	2.46134	0.07768
420	2.45871	0.07814
421	2.45612	0.07862
422	2.45355	0.07911
423	2.45101	0.0796
424	2.44851	0.08011
425	2.44603	0.08062
426	2.44358	0.08114
427	2.44116	0.08167
428	2.43877	0.08221
429	2.4364	0.08276
430	2.43406	0.08332
431	2.43174	0.08389
432	2.42946	0.08446
433	2.4272	0.08504
434	2.42496	0.08563
435	2.42274	0.08623
436	2.42056	0.08683
437	2.41839	0.08744
438	2.41625	0.08806
439	2.41413	0.08869
440	2.41204	0.08933
441	2.40997	0.08997
442	2.40792	0.09062
443	2.40589	0.09127
444	2.40388	0.09193
445	2.4019	0.0926
446	2.39993	0.09328
447	2.39799	0.09396
448	2.39607	0.09465
449	2.39417	0.09534
450	2.39228	0.09604
451	2.39042	0.09675
452	2.38858	0.09747
453	2.38676	0.09819
454	2.38495	0.09891
455	2.38317	0.09964
456	2.3814	0.10038
457	2.37965	0.10113
458	2.37792	0.10187
459	2.37621	0.10263
460	2.37451	0.10339
461	2.37284	0.10416
462	2.37118	0.10493
463	2.36954	0.1057
464	2.36791	0.10649
465	2.3663	0.10727
466	2.36471	0.10807
467	2.36314	0.10886
468	2.36158	0.10967
469	2.36004	0.11047
